                 Wort  NoSpam  Spam
1945            flach       0     1
2250    SAP-Bestands-       0     1
2252       kritisiere       0     1
2253  Servicequalität       0     1
2254         SAP’sche       0     1
2256            Bevor       0     1
2257          Dilemma       0     1
2258        betreffen       0     1
2261        schwierig       0     1
2262        Prognosen       0     1
2263      Investition       0     1
2265         Facebook       0     1
2266          Twitter       0     1
2267            News“       0     1
2249            kunde       0     1
2268            „Fake       0     1
2271    allumfassende       0     1
2272           Online       0     1
2274         Horizont       0     1
2275  Zeitungssterben       0     1
2276            jeder       0     1
2277            sieht       0     1
2278        Natürlich       0     1
2279           genug?       0     1
2280    Kommunikation       0     1
2282             Sind       0     1
2283           denken       0     2
2285          Werbung       0     2
2286   Geldbeschaffer       0     1
2269         EU-DSGVO       0     1
...               ...     ...   ...
2216           werden      24     5
1166           werden      24     5
1480               An      25    19
3876               An      25    19
1223      hs-mannheim      26     0
1468         Mannheim      26     0
1452              das      28    19
3840              das      28    19
3708              von      29    23
1407              von      29    23
1406              den      32    24
3751              den      32    24
1474               im      33    16
1424               in      33    50
3845               im      33    16
3811               in      33    50
3879             2018      35    24
1483             2018      35    24
1420              die      68    52
3867              die      68    52
3870              Sie      71    24
1456              Sie      71    24
1349                -      72   452
3356                -      72   452
3842              und      78    97
1467              und      78    97
1437              der      82    62
3745              der      82    62
3873               de      95    25
1477               de      95    25

[3892 rows x 3 columns]
